Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,10u,C_0603_1608Metric,160.528,-96.393,180.0,bottom
C11,10u,C_0603_1608Metric,162.813306,-92.254244,270.0,bottom
C12,10u,C_0603_1608Metric,164.464306,-92.254244,270.0,bottom
C13,10u,C_0603_1608Metric,163.576,-94.742,0.0,bottom
C2,470pF,C_0603_1608Metric,159.639,-80.772,180.0,bottom
C4,100nF,C_0603_1608Metric,157.48,-93.853,180.0,top
C5,100nF,C_0603_1608Metric,160.528,-91.44,180.0,bottom
C6,100nF,C_0603_1608Metric,160.528,-98.044,180.0,bottom
C8,10u,C_0603_1608Metric,160.528,-93.091,180.0,bottom
C9,10u,C_0603_1608Metric,160.528,-94.742,180.0,bottom
J1,USB_A,USB_A_CNCTech_1001-011-01101_Horizontal,161.561569,-107.295483,-90.0,top
JP1,PROG,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,168.915,-81.685,270.0,bottom
Q3,AO3400A,SOT-23,167.132,-100.6625,180.0,top
Q4,AO3400A,SOT-23,160.02,-101.346,270.0,top
R1,10k,R_0603_1608Metric,155.321,-84.201,270.0,bottom
R2,10k,R_0603_1608Metric,156.972,-84.201,270.0,bottom
R3,10k,R_0603_1608Metric,153.67,-84.201,270.0,bottom
R4,10k,R_0603_1608Metric,168.529,-86.614,0.0,bottom
R5,10k,R_0603_1608Metric,163.83,-103.124,180.0,top
R6,10k,R_0603_1608Metric,163.83,-101.6,180.0,top
R7,10k,R_0603_1608Metric,167.144,-97.7455,180.0,top
R8,10k,R_0603_1608Metric,157.103,-101.329,-90.0,top
U2,ESP-12F,ESP-12E,161.496069,-83.391483,0.0,top
U3,MCP1826S,SOT-223-3_TabPin2,161.671,-86.208,270.0,bottom
